T1,Removed1,Remaining1,T2,Removed2,Remaining2,T3,Removed3,Remaining3
0,0,100,0,0,100,0,0,100
1,34,66,1,23,77,1,23,77
2,19,47,2,21,56,2,14,63
3,14,33,3,14,42,3,13,50
4,5,28,4,10,32,4,10,40
5,4,24,5,10,22,5,9,31
6,4,20,6,7,15,6,8,23
7,5,15,7,3,12,7,5,18
8,3,12,8,3,9,8,5,13
9,3,9,9,1,8,9,5,8
10,1,8,10,2,6,10,0,8
11,1,7,11,2,4,11,3,5
12,0,7,12,3,1,12,2,3
13,0,7,13,0,1,13,1,2
14,0,7,14,1,0,14,0,2
15,1,6,,,,15,0,2
16,1,5,,,,16,0,2
17,1,4,,,,17,1,1
18,1,3,,,,18,0,1
19,2,1,,,,19,0,1
20,1,0,,,,20,1,0
