,Wavelength,Corrected_Intensity
0,380.6,24.586380893318932
1,381.4,24.657193964271272
2,382.3,24.79741516973423
3,383.2,25.005178987691682
4,384.0,25.2768918972125
5,384.9,25.608660067502555
6,385.7,25.996132031646447
7,386.6,26.43439161619655
8,387.4,26.918449969811064
9,388.3,27.44293805760611
10,389.2,28.003879603608784
11,390.0,28.597428225067407
12,390.9,29.22089832586096
13,391.7,29.87344421542175
14,392.6,30.55653576081113
15,393.4,31.274541748986163
16,394.3,32.03389418618551
17,395.2,32.8443119740598
18,396.0,33.71721690999033
19,396.9,34.667242292594565
20,397.7,35.71068986556229
21,398.6,36.86713326137677
22,399.4,38.157477553029004
23,400.3,39.60339704642775
24,401.2,41.22672004152035
25,402.0,43.04787188444516
26,402.9,45.087082745231776
27,403.7,47.36041994090781
28,404.6,49.881545865382044
29,405.4,52.65978716700097
30,406.3,55.69934988140416
31,407.2,58.99839886443057
32,408.0,62.548762905390475
33,408.9,66.33660850152786
34,409.7,70.34123930541641
35,410.6,74.53515237863581
36,411.4,78.8852655571487
37,412.3,83.35302264621612
38,413.1,87.89566384514282
39,414.0,92.46676377072023
40,414.9,97.01741730116127
41,415.7,101.49758264170225
42,416.6,105.85713244380706
43,417.4,110.04776778585341
44,418.3,114.02321143040972
45,419.1,117.74151060963618
46,420.0,121.16459857591583
47,420.9,124.25957899773385
48,421.7,126.99902766734368
49,422.6,129.36148993413022
50,423.4,131.3316245644025
51,424.3,132.89877748362784
52,425.1,134.05869482028956
53,426.0,134.81229522929465
54,426.9,135.1638758461306
55,427.7,135.1213345287654
56,428.6,134.69484127336096
57,429.4,133.89882608640457
58,430.3,132.74810603728815
59,431.1,131.26021618507815
60,432.0,129.45462672673156
61,432.9,127.35226100908754
62,433.7,124.97582277852635
63,434.6,122.34797955903002
64,435.4,119.49528308818236
65,436.3,116.44584422585555
66,437.1,113.23165473055437
67,438.0,109.88709863582952
68,438.9,106.44938898276746
69,439.7,102.957816942475
70,440.6,99.45424112896595
71,441.4,95.98335831676282
72,442.3,92.59314553367835
73,443.1,89.33345438683314
74,444.0,86.25520323446567
75,444.9,83.40943272563706
76,445.7,80.84903904331529
77,446.6,78.6271171522691
78,447.4,76.7984258149889
79,448.3,75.41712689599358
80,449.1,74.53905222082608
81,450.0,74.22086867063365
82,450.9,74.52286174129775
83,451.7,75.50841906149616
84,452.6,77.24445168881189
85,453.4,79.80158205561753
86,454.3,83.25562893861648
87,455.1,87.68798184801345
88,456.0,93.18433391807494
89,456.9,99.83500080787492
90,457.7,107.73280120053616
91,458.6,116.97080092347748
92,459.4,127.63938234325849
93,460.3,139.82226475237053
94,461.1,153.59317951820705
95,462.0,169.0090518105146
96,462.9,186.1069446113545
97,463.7,204.89675328717846
98,464.6,225.35691663657775
99,465.4,247.4280800776437
100,466.3,271.00985436915624
101,467.1,295.9568397145663
102,468.0,322.07607360303325
103,468.9,349.1275976997712
104,469.7,376.8243748729806
105,470.6,404.8378656840294
106,471.4,432.8022937696299
107,472.3,460.3220161205392
108,473.1,486.98082880106307
109,474.0,512.3515105592722
110,474.9,536.0099538921858
111,475.7,557.545705621545
112,476.6,576.5751298403742
113,477.4,592.7524934525563
114,478.3,605.7816657403694
115,479.1,615.4266360087597
116,480.0,621.5180504048052
117,480.9,623.958495803548
118,481.7,622.724090604177
119,482.6,617.8666712937993
120,483.4,609.509051230785
121,484.3,597.8413643258683
122,485.1,583.1123034564184
123,486.0,565.6215249579868
124,486.9,545.7081018388196
125,487.7,523.739842781385
126,488.6,500.10142569100617
127,489.4,475.18345077011776
128,490.3,449.37109552657313
129,491.1,423.0351959344408
130,492.0,396.5232782684712
131,492.9,370.1536470079761
132,493.7,344.20946772628866
133,494.6,318.93553860633085
134,495.4,294.5363210742925
135,496.3,271.17683253184344
136,497.1,248.98303724230996
137,498.0,228.0439975415545
138,498.8,208.41483245015033
139,499.7,190.12029544782197
140,500.6,173.15925560568962
141,501.4,157.50819290567193
142,502.3,143.12706725938227
143,503.1,129.9609012270643
144,504.0,117.94621830980037
145,504.8,107.01189730175108
146,505.7,97.08383734718696
147,506.6,88.08616765815911
148,507.4,79.94413476776717
